t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, b1, b2, C, D, x1, x2
353.712985, 332.668543, 160.718212, -152.208412, 9.404657, 11.713528, 292.269194, 299.231905, 0.120984, 0.111500, 10.000000, 4.774091, 2.199807, 4.532561
344.652629, 325.316243, 158.711844, -156.052903, 8.986007, 0.000000, 286.916984, 288.063174, 0.118506, 0.104948, 4.646801, 3.747503, 2.198463, 4.527493
362.773342, 340.020843, 162.724580, -148.363922, 9.823306, 0.000000, 297.621405, 310.400636, 0.123461, 0.118052, 15.353199, 5.800680, 2.201151, 4.537630
9.060357, 7.352300, 2.006368, 3.844490, 0.418650, 0.000000, 5.352210, 11.168731, 0.002477, 0.006552, 5.353199, 1.026589, 0.001344, 0.005068
2.561500, 2.210098, 1.248376, 2.525807, 4.451516, 0.000000, 1.831260, 3.732467, 2.047762, 5.876101, 53.531992, 21.503332, 0.061100, 0.111823
