t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, A3, b1, b2, b3, C, D, x1, x2, x3
1011.943046, 1001.896814, 441.559033, -86.966568, 5.331256, 15.035425, 191.908060, 169.804068, 208.479393, 0.104041, 0.090743, 0.083882, 16.956858, 6.847748, 1.879777, 3.071857, 5.013338
996.287918, 993.518987, 433.324912, -88.590887, 5.100134, 0.000000, 184.332286, 155.029905, 192.791382, 0.099341, 0.062494, 0.058273, 7.118257, 3.282843, 1.877269, 3.065609, 5.007321
1027.598175, 1010.274642, 449.793155, -85.342250, 5.562379, 0.000000, 199.483834, 184.578231, 224.167404, 0.108740, 0.118993, 0.109492, 26.795459, 10.412653, 1.882285, 3.078106, 5.019354
15.655129, 8.377828, 8.234121, 1.624318, 0.231122, 0.000000, 7.575774, 14.774163, 15.688011, 0.004700, 0.028249, 0.025609, 9.838601, 3.564905, 0.002508, 0.006249, 0.006017
1.547037, 0.836197, 1.864784, 1.867750, 4.335232, 0.000000, 3.947606, 8.700712, 7.524970, 4.517072, 31.130767, 30.530376, 58.021366, 52.059527, 0.133412, 0.203419, 0.120011
