t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, A3, b1, b2, b3, C, D, x1, x2, x3
378.086742, 355.681885, 171.252785, -211.212229, 12.868036, 13.387904, 294.077420, 285.754215, 329.934369, 0.120475, 0.129902, 0.121368, 10.382940, 11.179938, 1.881141, 3.064032, 4.983338
362.427475, 349.717862, 167.462326, -213.808136, 12.531006, 0.000000, 284.283506, 262.385793, 304.206064, 0.116082, 0.111457, 0.108829, -1.447893, 7.220649, 1.878867, 3.056566, 4.975017
393.746010, 361.645908, 175.043245, -208.616321, 13.205066, 0.000000, 303.871335, 309.122638, 355.662674, 0.124868, 0.148348, 0.133907, 22.213774, 15.139228, 1.883415, 3.071498, 4.991659
15.659268, 5.964023, 3.790459, 2.595907, 0.337030, 0.000000, 9.793914, 23.368423, 25.728305, 0.004393, 0.018445, 0.012539, 11.830834, 3.959290, 0.002274, 0.007466, 0.008321
4.141713, 1.676786, 2.213371, 1.229052, 2.619126, 0.000000, 3.330386, 8.177805, 7.798007, 3.646366, 14.199305, 10.331111, 113.944926, 35.414234, 0.120888, 0.243665, 0.166980
