t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, A3, b1, b2, b3, C, D, x1, x2, x3
209.603893, 196.406792, 96.839865, -217.779344, 23.011377, 7.218730, 187.694146, 182.456697, 181.786229, 0.152918, 0.155357, 0.137087, 8.693182, 4.479294, 1.742606, 2.963853, 4.947855
202.918986, 188.366287, 93.654487, -221.561049, 22.380076, 0.000000, 182.763961, 173.173224, 173.414664, 0.148802, 0.144637, 0.129904, 4.384286, 3.731981, 1.740544, 2.956579, 4.940637
216.288799, 204.447297, 100.025243, -213.997639, 23.642679, 0.000000, 192.624332, 191.740170, 190.157795, 0.157035, 0.166078, 0.144269, 13.002079, 5.226607, 1.744668, 2.971128, 4.955074
6.684906, 8.040505, 3.185378, 3.781705, 0.631301, 0.000000, 4.930186, 9.283473, 8.371565, 0.004116, 0.010721, 0.007182, 4.308896, 0.747313, 0.002062, 0.007275, 0.007219
3.189305, 4.093802, 3.289325, 1.736485, 2.743431, 0.000000, 2.626712, 5.088042, 4.605170, 2.691814, 6.900716, 5.239304, 49.566385, 16.683725, 0.118320, 0.245455, 0.145894
