t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, A3, b1, b2, b3, C, D, x1, x2, x3
979.376811, 938.102099, 421.110783, -88.025153, 5.515756, 13.220927, 174.544440, 149.745151, 170.403473, 0.096900, 0.095374, 0.082986, 11.729306, 5.766836, 1.728363, 2.994712, 5.016486
968.764413, 915.924367, 415.189923, -88.614475, 5.415283, 0.000000, 171.420066, 142.124259, 165.004080, 0.094881, 0.090239, 0.070966, 8.284263, 5.090670, 1.727272, 2.987203, 5.013671
989.989210, 960.279832, 427.031642, -87.435831, 5.616228, 0.000000, 177.668813, 157.366042, 175.802866, 0.098919, 0.100510, 0.095006, 15.174350, 6.443003, 1.729455, 3.002221, 5.019301
10.612399, 22.177733, 5.920860, 0.589322, 0.100472, 0.000000, 3.124374, 7.620891, 5.399393, 0.002019, 0.005135, 0.012020, 3.445044, 0.676166, 0.001091, 0.007509, 0.002815
1.083587, 2.364106, 1.406010, 0.669492, 1.821554, 0.000000, 1.790016, 5.089241, 3.168593, 2.083584, 5.384350, 14.484287, 29.371248, 11.725082, 0.063135, 0.250745, 0.056114
