t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, A3, b1, b2, b3, C, D, x1, x2, x3
382.094295, 357.203715, 173.002278, -237.440604, 11.956072, 7.861087, 235.197877, 217.756615, 226.759030, 0.116267, 0.115635, 0.103900, 8.706491, 5.354100, 1.731212, 2.975423, 4.975555
374.392336, 349.311736, 168.840815, -239.510398, 11.748355, 0.000000, 231.615009, 210.186786, 219.541422, 0.114296, 0.110213, 0.099078, 5.114562, 4.684090, 1.730189, 2.970517, 4.971051
389.796253, 365.095695, 177.163742, -235.370809, 12.163789, 0.000000, 238.780746, 225.326444, 233.976637, 0.118237, 0.121057, 0.108722, 12.298420, 6.024110, 1.732235, 2.980330, 4.980060
7.701959, 7.891979, 4.161463, 2.069795, 0.207717, 0.000000, 3.582868, 7.569829, 7.217607, 0.001971, 0.005422, 0.004822, 3.591929, 0.670010, 0.001023, 0.004906, 0.004504
2.015722, 2.209378, 2.405438, 0.871710, 1.737338, 0.000000, 1.523342, 3.476280, 3.182942, 1.694918, 4.688487, 4.641079, 41.255759, 12.513965, 0.059081, 0.164889, 0.090531
