t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, A3, b1, b2, b3, C, D, x1, x2, x3
645.269214, 632.119378, 288.489835, -141.771369, 7.199173, 11.910829, 239.077695, 214.738336, 232.642717, 0.101814, 0.102952, 0.089326, 13.785060, 5.133631, 1.730011, 2.988235, 4.997168
637.898121, 623.393912, 284.239403, -142.788540, 7.073073, 0.000000, 235.926940, 207.376294, 226.423356, 0.100269, 0.098908, 0.082630, 10.398938, 4.478809, 1.729186, 2.983191, 4.993799
652.640307, 640.844844, 292.740268, -140.754197, 7.325272, 0.000000, 242.228450, 222.100377, 238.862077, 0.103358, 0.106996, 0.096022, 17.171182, 5.788452, 1.730836, 2.993279, 5.000537
7.371093, 8.725466, 4.250433, 1.017172, 0.126099, 0.000000, 3.150755, 7.362041, 6.219360, 0.001544, 0.004044, 0.006696, 3.386122, 0.654822, 0.000825, 0.005044, 0.003369
1.142328, 1.380351, 1.473339, 0.717473, 1.751581, 0.000000, 1.317879, 3.428378, 2.673353, 1.516939, 3.928095, 7.496120, 24.563709, 12.755524, 0.047683, 0.168794, 0.067410
