t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, A3, b1, b2, b3, C, D, x1, x2, x3
224.078636, 209.676678, 102.176725, -110.616452, 18.034982, -14.387857, 188.675719, 187.214685, 192.270856, 0.139835, 0.153732, 0.135415, 0.843768, 6.082700, 1.918459, 3.087509, 4.881816
217.155389, 200.495011, 99.230646, -113.220897, 17.338877, 0.000000, 183.143756, 175.336270, 181.173804, 0.135574, 0.138736, 0.121651, -4.444920, 5.158788, 1.916177, 3.079909, 4.876009
231.001884, 218.858344, 105.122804, -108.012007, 18.731087, 0.000000, 194.207682, 199.093099, 203.367909, 0.144096, 0.168729, 0.149179, 6.132456, 7.006611, 1.920741, 3.095109, 4.887624
6.923248, 9.181667, 2.946079, 2.604445, 0.696105, 0.000000, 5.531963, 11.878414, 11.097053, 0.004261, 0.014997, 0.013764, 5.288688, 0.923912, 0.002282, 0.007600, 0.005807
3.089651, 4.378964, 2.883318, 2.354483, 3.859749, 0.000000, 2.931995, 6.344809, 5.771573, 3.047160, 9.755071, 10.164179, 626.794308, 15.189169, 0.118964, 0.246157, 0.118957
