t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, A3, b1, b2, b3, C, D, x1, x2, x3
1081.055830, 1092.255080, 474.192585, -97.249927, 2.650912, 7.930063, 136.616498, 125.392711, 149.176806, 0.060581, 0.074906, 0.060008, -8.110828, 6.765193, 1.907168, 3.128618, 4.949094
1062.362615, 1082.846546, 463.521970, -97.717984, 2.603480, 0.000000, 132.683632, 111.968669, 133.531829, 0.058383, 0.061101, 0.053723, -13.822538, 5.552023, 1.905865, 3.112257, 4.933565
1099.749045, 1101.663614, 484.863199, -96.781870, 2.698345, 0.000000, 140.549365, 138.816752, 164.821783, 0.062779, 0.088710, 0.066293, -2.399118, 7.978362, 1.908472, 3.144979, 4.964623
18.693215, 9.408534, 10.670615, 0.468057, 0.047432, 0.000000, 3.932866, 13.424041, 15.644977, 0.002198, 0.013805, 0.006285, 5.711710, 1.213170, 0.001303, 0.016361, 0.015529
1.729163, 0.861386, 2.250270, 0.481293, 1.789276, 0.000000, 2.878764, 10.705600, 10.487540, 3.628043, 18.429637, 10.473440, 70.420803, 17.932520, 0.068347, 0.522941, 0.313775
