t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, A3, b1, b2, b3, C, D, x1, x2, x3
409.950551, 395.509042, 187.235170, -173.259764, 8.713164, 11.564725, 231.350793, 230.007990, 233.662129, 0.093398, 0.110616, 0.086026, -5.304223, 8.037109, 1.905873, 3.091889, 4.902770
402.574460, 385.152685, 183.871284, -174.966756, 8.528230, 0.000000, 227.215585, 219.497556, 225.149090, 0.091464, 0.099600, 0.076482, -10.196721, 7.100679, 1.904794, 3.087481, 4.898019
417.326643, 405.865399, 190.599056, -171.552772, 8.898097, 0.000000, 235.486000, 240.518423, 242.175168, 0.095332, 0.121633, 0.095570, -0.411726, 8.973539, 1.906953, 3.096297, 4.907522
7.376091, 10.356357, 3.363886, 1.706992, 0.184934, 0.000000, 4.135207, 10.510433, 8.513039, 0.001934, 0.011016, 0.009544, 4.892498, 0.936430, 0.001079, 0.004408, 0.004752
1.799264, 2.618488, 1.796610, 0.985221, 2.122462, 0.000000, 1.787419, 4.569595, 3.643311, 2.070727, 9.959138, 11.094248, 92.237779, 11.651328, 0.056637, 0.142560, 0.096918
