t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, A3, b1, b2, b3, C, D, x1, x2, x3
1539.428037, 1443.736927, 618.693079, -25.301424, 3.654944, 29.228796, 128.136289, 116.951539, 141.852969, 0.104068, 0.125795, 0.114822, 18.655049, 11.891914, 1.894073, 3.075429, 4.990185
1480.770908, 1411.373466, 602.708181, -25.963062, 3.323160, 0.000000, 115.407013, 85.315453, 106.135721, 0.092953, 0.053393, 0.085900, -0.926770, 5.687436, 1.888529, 3.052303, 4.957420
1598.085166, 1476.100389, 634.677976, -24.639785, 3.986728, 0.000000, 140.865564, 148.587626, 177.570217, 0.115182, 0.198198, 0.143744, 38.236868, 18.096393, 1.899617, 3.098555, 5.022951
58.657129, 32.363462, 15.984898, 0.661638, 0.331784, 0.000000, 12.729275, 31.636087, 35.717248, 0.011115, 0.072402, 0.028922, 19.581819, 6.204478, 0.005544, 0.023126, 0.032766
3.810320, 2.241645, 2.583655, 2.615025, 9.077676, 0.000000, 9.934169, 27.050595, 25.179063, 10.680286, 57.555616, 25.188657, 104.967933, 52.173923, 0.292685, 0.751967, 0.656601
