t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, A3, b1, b2, b3, C, D, x1, x2, x3
224.823374, 211.523214, 103.362356, -80.861122, 14.789213, 29.517761, 243.382626, 231.279489, 256.822682, 0.135077, 0.125034, 0.128866, 20.197294, 4.804588, 1.898692, 3.065716, 4.965963
215.279688, 205.763787, 99.020114, -82.765658, 14.118466, 0.000000, 225.044133, 197.784362, 216.422957, 0.125012, 0.088280, 0.102374, -3.444093, -2.240964, 1.894107, 3.051916, 4.947469
234.367060, 217.282640, 107.704598, -78.956585, 15.459959, 0.000000, 261.721120, 264.774617, 297.222407, 0.145142, 0.161788, 0.155357, 43.838680, 11.850139, 1.903277, 3.079516, 4.984458
9.543686, 5.759427, 4.342242, 1.904537, 0.670746, 0.000000, 18.338494, 33.495127, 40.399725, 0.010065, 0.036754, 0.026492, 23.641387, 7.045552, 0.004585, 0.013800, 0.018494
4.244971, 2.722834, 4.200990, 2.355318, 4.535374, 0.000000, 7.534841, 14.482533, 15.730591, 7.451182, 29.394986, 20.557826, 117.052251, 146.642177, 0.241469, 0.450152, 0.372422
