t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, b1, b2, C, D, x1, x2
811.365788, 786.357763, 357.978892, -108.581878, 4.786170, 20.532961, 345.712435, 389.600250, 0.100746, 0.083138, 10.000000, 9.999998, 2.308702, 4.563682
801.652513, 775.349514, 353.521220, -109.926981, 4.628821, 0.000000, 334.747696, 367.974203, 0.096994, 0.063187, -5.112054, 4.928388, 2.306626, 4.558830
821.079063, 797.366012, 362.436564, -107.236774, 4.943518, 0.000000, 356.677174, 411.226297, 0.104497, 0.103089, 25.112054, 15.071609, 2.310778, 4.568534
9.713275, 11.008249, 4.457672, 1.345104, 0.157349, 0.000000, 10.964739, 21.626047, 0.003751, 0.019951, 15.112054, 5.071610, 0.002076, 0.004852
1.197151, 1.399903, 1.245233, 1.238792, 3.287568, 0.000000, 3.171636, 5.550830, 3.723423, 23.997071, 151.120541, 50.716112, 0.089901, 0.106326
