t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, b1, b2, C, D, x1, x2
492.893186, 451.134242, 216.370875, -104.446842, 7.649459, 8.460590, 226.142115, 243.692476, 0.114097, 0.111666, 10.000000, 6.695680, 2.220469, 4.540456
478.411489, 436.319432, 210.992848, -105.511985, 7.464246, 0.000000, 220.276499, 230.774598, 0.110811, 0.101165, 3.950130, 5.520462, 2.218588, 4.533767
507.374883, 465.949052, 221.748902, -103.381699, 7.834673, 0.000000, 232.007731, 256.610353, 0.117382, 0.122168, 16.049869, 7.870899, 2.222350, 4.547145
14.481697, 14.814810, 5.378027, 1.065143, 0.185213, 0.000000, 5.865616, 12.917878, 0.003286, 0.010502, 6.049870, 1.175219, 0.001881, 0.006689
2.938100, 3.283903, 2.485560, 1.019794, 2.421262, 0.000000, 2.593774, 5.300893, 2.879767, 9.404557, 60.498697, 17.551891, 0.084710, 0.147313
