t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, b1, b2, C, D, x1, x2
813.393322, 782.470279, 359.784517, -85.323222, 5.935724, 10.151329, 220.817132, 243.973323, 0.108854, 0.087785, 9.999999, 7.563762, 2.206645, 4.558423
794.881095, 764.524359, 353.009607, -86.143093, 5.785361, 0.000000, 214.646398, 232.939192, 0.105390, 0.073563, 3.454637, 6.282334, 2.204713, 4.553664
831.905549, 800.416199, 366.559427, -84.503352, 6.086088, 0.000000, 226.987865, 255.007454, 0.112318, 0.102007, 16.545361, 8.845189, 2.208577, 4.563181
18.512227, 17.945920, 6.774910, 0.819871, 0.150363, 0.000000, 6.170734, 11.034131, 0.003464, 0.014222, 6.545362, 1.281428, 0.001932, 0.004759
2.275926, 2.293495, 1.883047, 0.960900, 2.533195, 0.000000, 2.794500, 4.522679, 3.182423, 16.200964, 65.453624, 16.941670, 0.087564, 0.104395
