t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, b1, b2, C, D, x1, x2
263.161065, 242.833041, 122.286649, -225.142273, 15.886925, 3.788206, 228.751636, 242.180683, 0.128617, 0.121070, 9.999998, 6.534926, 2.211090, 4.508459
254.572874, 231.457189, 118.726938, -230.420717, 15.219738, 0.000000, 223.138688, 230.737367, 0.125168, 0.114595, 4.583879, 5.506368, 2.209196, 4.501228
271.749256, 254.208893, 125.846361, -219.863830, 16.554113, 0.000000, 234.364584, 253.623999, 0.132065, 0.127545, 15.416117, 7.563484, 2.212985, 4.515690
8.588191, 11.375852, 3.559711, 5.278443, 0.667187, 0.000000, 5.612948, 11.443316, 0.003448, 0.006475, 5.416119, 1.028558, 0.001895, 0.007231
3.263473, 4.684639, 2.910957, 2.344492, 4.199599, 0.000000, 2.453730, 4.725115, 2.681064, 5.348140, 54.161202, 15.739403, 0.085698, 0.160383
