	values	ubound	lbound	dev	perc
0.25	1858.202048	1795.454759	1920.949338	62.747289	3.376774
0.5	1452.700129	1417.703784	1487.696473	34.996345	2.409055
1.0	1011.943046	996.287918	1027.598175	15.655129	1.547037
2.0	656.948818	648.106371	665.791266	8.842448	1.345987
4.0	378.086742	362.427475	393.74601	15.659268	4.141713
6.0	240.855137	228.469173	253.241101	12.385964	5.142495
8.0	200.599299	187.063437	214.135161	13.535862	6.747712
16.0	128.621811	90.874834	166.368788	37.746977	29.34726
