	values	ubound	lbound	dev	perc
0.25	13.411192	5.267045	21.555339	8.144147	60.726496
0.5	12.432202	4.208786	20.655618	8.223416	66.146093
1.0	16.956858	7.118257	26.795459	9.838601	58.021366
2.0	23.246149	11.963796	34.528502	11.282353	48.534287
4.0	10.38294	-1.447893	22.213774	11.830834	113.944926
6.0	7.993489	-2.822745	18.809723	10.816234	135.31306
8.0	22.491124	8.448353	36.533896	14.042772	62.436948
16.0	13.949681	-1.930632	29.829994	15.880313	113.839971
