	values	ubound	lbound	dev	perc
1.0	421.110783	415.189923	427.031642	5.92086	1.40601
2.0	288.489835	284.239403	292.740268	4.250433	1.473339
4.0	173.002278	168.840815	177.163742	4.161463	2.405438
8.0	96.839865	93.654487	100.025243	3.185378	3.289325
