	t_hyp	 T1	 T2	 E_max	 P1/2	 baseline	 A1	 A2	 A3	 b1	 b2	 b3	 C	 D	 x1	 x2	 x3
1.0	992.886385	949.954519	420.980947	-68.55457	3.555089	13.702177	159.904291	137.213061	147.785933	0.089844	0.070576	0.080068	6.754287	5.771521	1.881732	3.089421	4.951187
2.0	618.115941	595.001378	282.123609	-90.573258	4.2496	11.642336	184.569423	160.671543	182.495337	0.094452	0.079272	0.084152	6.680871	5.713532	1.875647	3.074478	4.919983
4.0	360.374235	341.78849	166.908205	-242.243283	8.00795	5.848364	214.041278	191.508066	222.745679	0.100481	0.09526	0.088063	8.370319	5.527693	1.876256	3.066234	4.901193
8.0	201.185471	177.658405	89.553764	-132.670749	12.399245	7.675045	162.588896	161.212317	176.82975	0.120514	0.137929	0.108641	1.619464	5.205162	1.879985	3.066227	4.894407
