	values	ubound	lbound	dev	perc
1.0	5.016486	5.013671	5.019301	0.002815	0.056114
2.0	4.997168	4.993799	5.000537	0.003369	0.06741
4.0	4.975555	4.971051	4.98006	0.004504	0.090531
8.0	4.947855	4.940637	4.955074	0.007219	0.145894
