	values	ubound	lbound	dev	perc
0.25	1783.574277	1745.857781	1821.290773	37.716496	2.114658
0.5	1416.629643	1395.871313	1437.387973	20.75833	1.465332
1.0	1001.896814	993.518987	1010.274642	8.377828	0.836197
2.0	645.016539	633.924152	656.108925	11.092386	1.719706
4.0	355.681885	349.717862	361.645908	5.964023	1.676786
6.0	223.481602	216.144911	230.818294	7.336692	3.282906
8.0	185.268666	178.711376	191.825957	6.557291	3.539342
16.0	78.38357	66.65419	90.11295	11.72938	14.96408
