	values	ubound	lbound	dev	perc
0.25	3.852812	3.593093	4.112532	0.259719	6.741028
0.5	3.589885	3.363993	3.815778	0.225893	6.292478
1.0	5.331256	5.100134	5.562379	0.231122	4.335232
2.0	7.997326	7.753937	8.240714	0.243388	3.043372
4.0	12.868036	12.531006	13.205066	0.33703	2.619126
6.0	16.291303	15.782057	16.800549	0.509246	3.125876
8.0	20.499963	19.738955	21.260971	0.761008	3.712241
16.0	43.086854	37.940435	48.233272	5.146418	11.944289
