	values	ubound	lbound	dev	perc
1.0	0.082986	0.070966	0.095006	0.01202	14.484287
2.0	0.089326	0.08263	0.096022	0.006696	7.49612
4.0	0.1039	0.099078	0.108722	0.004822	4.641079
8.0	0.137087	0.129904	0.144269	0.007182	5.239304
