	values	ubound	lbound	dev	perc
1.0	170.403473	165.00408	175.802866	5.399393	3.168593
2.0	232.642717	226.423356	238.862077	6.21936	2.673353
4.0	226.75903	219.541422	233.976637	7.217607	3.182942
8.0	181.786229	173.414664	190.157795	8.371565	4.60517
