	values	ubound	lbound	dev	perc
1.0	0.0969	0.094881	0.098919	0.002019	2.083584
2.0	0.101814	0.100269	0.103358	0.001544	1.516939
4.0	0.116267	0.114296	0.118237	0.001971	1.694918
8.0	0.152918	0.148802	0.157035	0.004116	2.691814
