	values	ubound	lbound	dev	perc
1.0	174.54444	171.420066	177.668813	3.124374	1.790016
2.0	239.077695	235.92694	242.22845	3.150755	1.317879
4.0	235.197877	231.615009	238.780746	3.582868	1.523342
8.0	187.694146	182.763961	192.624332	4.930186	2.626712
