	values	ubound	lbound	dev	perc
1.0	4.52012	4.507872	4.532368	0.012248	0.270961
2.0	4.513349	4.504811	4.521887	0.008538	0.189173
4.0	4.487794	4.480909	4.494678	0.006884	0.153404
8.0	4.475504	4.469868	4.48114	0.005636	0.12593
