	values	ubound	lbound	dev	perc
1.0	-77.92999555555555	-70.671901	-69.602091	0.534905	0.762657
2.0	-98.73069444444444	-89.589998	-88.125251	0.732374	0.82421
4.0	-138.3721011111111	-125.234133	-123.835649	0.699242	0.561483
8.0	-149.01723222222222	-136.531692	-131.699325	2.416184	1.801569
