	values	ubound	lbound	dev	perc
1.0	0.095374	0.090239	0.10051	0.005135	5.38435
2.0	0.102952	0.098908	0.106996	0.004044	3.928095
4.0	0.115635	0.110213	0.121057	0.005422	4.688487
8.0	0.155357	0.144637	0.166078	0.010721	6.900716
