	values	ubound	lbound	dev	perc
1.0	5.766836	5.09067	6.443003	0.676166	11.725082
2.0	5.133631	4.478809	5.788452	0.654822	12.755524
4.0	5.3541	4.68409	6.02411	0.67001	12.513965
8.0	4.479294	3.731981	5.226607	0.747313	16.683725
