t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, A3, b1, b2, b3, C, D, x1, x2, x3
1452.700129, 1416.629643, 587.514504, -49.088087, 3.589885, 17.118410, 152.717644, 147.026018, 147.086430, 0.098652, 0.045224, 0.107881, 12.432202, 7.916945, 1.877338, 3.073521, 4.998549
1417.703784, 1395.871313, 575.848642, -50.327880, 3.363993, 0.000000, 146.601820, 69.792693, 128.506274, 0.094074, -0.005030, 0.082729, 4.208786, 4.918591, 1.874866, 3.069667, 4.987105
1487.696473, 1437.387973, 599.180366, -47.848295, 3.815778, 0.000000, 158.833468, 224.259343, 165.666587, 0.103231, 0.095477, 0.133032, 20.655618, 10.915299, 1.879809, 3.077374, 5.009993
34.996345, 20.758330, 11.665862, 1.239793, 0.225893, 0.000000, 6.115824, 77.233325, 18.580157, 0.004578, 0.050253, 0.025152, 8.223416, 2.998354, 0.002472, 0.003854, 0.011444
2.409055, 1.465332, 1.985630, 2.525648, 6.292478, 0.000000, 4.004661, 52.530380, 12.632135, 4.640677, 111.121629, 23.314398, 66.146093, 37.872614, 0.131652, 0.125379, 0.228949
