t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, A3, b1, b2, b3, C, D, x1, x2, x3
656.948818, 645.016539, 295.518221, -119.640303, 7.997326, 19.118856, 297.295658, 260.943033, 306.686360, 0.108794, 0.090662, 0.095104, 23.246149, 6.254885, 1.878104, 3.066323, 4.993458
648.106371, 633.924152, 291.839354, -121.179898, 7.753937, 0.000000, 288.270856, 244.045291, 284.179591, 0.105050, 0.070174, 0.080501, 11.963796, 2.305805, 1.876123, 3.061156, 4.985815
665.791266, 656.108925, 299.197087, -118.100708, 8.240714, 0.000000, 306.320459, 277.840775, 329.193129, 0.112539, 0.111150, 0.109706, 34.528502, 10.203965, 1.880085, 3.071489, 5.001101
8.842448, 11.092386, 3.678866, 1.539595, 0.243388, 0.000000, 9.024801, 16.897742, 22.506769, 0.003744, 0.020488, 0.014603, 11.282353, 3.949080, 0.001981, 0.005166, 0.007643
1.345987, 1.719706, 1.244886, 1.286853, 3.043372, 0.000000, 3.035632, 6.475644, 7.338693, 3.441648, 22.598431, 15.354344, 48.534287, 63.135939, 0.105472, 0.168483, 0.153062
