t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, A3, b1, b2, b3, C, D, x1, x2, x3
128.621811, 78.383570, 34.418197, -75.872353, 43.086854, 29.657122, 148.167689, 159.812020, 157.743024, 0.233508, 0.276423, 0.204251, 13.949681, 3.830664, 1.915412, 3.076527, 4.939592
90.874834, 66.654190, 28.847135, -82.324790, 37.940435, 0.000000, 126.757472, 115.277363, 106.291752, 0.203753, 0.184956, 0.126195, -1.930632, -1.687878, 1.901686, 3.023397, 4.902823
166.368788, 90.112950, 39.989258, -69.419916, 48.233272, 0.000000, 169.577907, 204.346676, 209.194296, 0.263264, 0.367890, 0.282307, 29.829994, 9.349205, 1.929138, 3.129658, 4.976361
37.746977, 11.729380, 5.571061, 6.452437, 5.146418, 0.000000, 21.410218, 44.534657, 51.451272, 0.029756, 0.091467, 0.078056, 15.880313, 5.518541, 0.013726, 0.053130, 0.036769
29.347260, 14.964080, 16.186384, 8.504333, 11.944289, 0.000000, 14.449991, 27.866901, 32.617146, 12.742835, 33.089560, 38.215655, 113.839971, 144.062277, 0.716604, 1.726956, 0.744370
