t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, A3, b1, b2, b3, C, D, x1, x2, x3
200.599299, 185.268666, 87.418181, -122.769755, 20.499963, 20.041509, 220.949895, 239.469761, 228.659921, 0.152482, 0.185862, 0.147891, 22.491124, 3.284955, 1.885201, 3.059510, 4.970986
187.063437, 178.711376, 82.509877, -125.330017, 19.738955, 0.000000, 209.349580, 216.497267, 205.166647, 0.145025, 0.162343, 0.130512, 8.448353, -0.675770, 1.881908, 3.046772, 4.958731
214.135161, 191.825957, 92.326485, -120.209492, 21.260971, 0.000000, 232.550209, 262.442255, 252.153196, 0.159938, 0.209381, 0.165270, 36.533896, 7.245679, 1.888495, 3.072247, 4.983240
13.535862, 6.557291, 4.908304, 2.560262, 0.761008, 0.000000, 11.600315, 22.972494, 23.493275, 0.007457, 0.023519, 0.017379, 14.042772, 3.960724, 0.003294, 0.012738, 0.012254
6.747712, 3.539342, 5.614741, 2.085418, 3.712241, 0.000000, 5.250202, 9.593067, 10.274330, 4.890096, 12.654020, 11.751292, 62.436948, 120.571654, 0.174711, 0.416335, 0.246517
