t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, A3, b1, b2, b3, C, D, x1, x2, x3
1858.202048, 1783.574277, 699.417148, -29.976364, 3.852812, 20.194316, 113.700952, 98.497211, 111.985471, 0.100400, 0.105573, 0.070475, 13.411192, 9.751224, 1.879846, 3.073650, 5.013627
1795.454759, 1745.857781, 676.331149, -30.822236, 3.593093, 0.000000, 107.641194, 83.683608, 101.187723, 0.094235, 0.066142, 0.027087, 5.267045, 6.820410, 1.876532, 3.062758, 5.004800
1920.949338, 1821.290773, 722.503147, -29.130491, 4.112532, 0.000000, 119.760710, 113.310814, 122.783218, 0.106564, 0.145003, 0.113863, 21.555339, 12.682038, 1.883160, 3.084542, 5.022455
62.747289, 37.716496, 23.085999, 0.845872, 0.259719, 0.000000, 6.059758, 14.813603, 10.797747, 0.006164, 0.039431, 0.043388, 8.144147, 2.930814, 0.003314, 0.010892, 0.008828
3.376774, 2.114658, 3.300748, 2.821798, 6.741028, 0.000000, 5.329558, 15.039617, 9.642097, 6.139864, 37.349381, 61.565213, 60.726496, 30.055860, 0.176287, 0.354368, 0.176073
