t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, A3, b1, b2, b3, C, D, x1, x2, x3
240.855137, 223.481602, 108.724652, -139.466169, 16.291303, 16.802572, 219.198580, 231.244275, 256.344001, 0.130924, 0.151170, 0.135981, 7.993489, 7.943208, 1.885099, 3.060286, 4.967325
228.469173, 216.144911, 104.268362, -141.713998, 15.782057, 0.000000, 209.528614, 208.051573, 231.671434, 0.124724, 0.128600, 0.121889, -2.822745, 4.320290, 1.881915, 3.049252, 4.955936
253.241101, 230.818294, 113.180942, -137.218341, 16.800549, 0.000000, 228.868546, 254.436977, 281.016569, 0.137124, 0.173739, 0.150072, 18.809723, 11.566126, 1.888284, 3.071321, 4.978715
12.385964, 7.336692, 4.456290, 2.247828, 0.509246, 0.000000, 9.669966, 23.192702, 24.672567, 0.006200, 0.022570, 0.014091, 10.816234, 3.622918, 0.003184, 0.011035, 0.011389
5.142495, 3.282906, 4.098693, 1.611737, 3.125876, 0.000000, 4.411509, 10.029525, 9.624788, 4.735469, 14.930119, 10.362741, 135.313060, 45.610268, 0.168916, 0.360580, 0.229284
