t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, A3, b1, b2, b3, C, D, x1, x2, x3
1038.425196, 962.280128, 440.283952, -77.242440, 4.959100, 13.237462, 188.686335, 152.924640, 187.812446, 0.109757, 0.098627, 0.087287, 15.021879, 5.185601, 1.763359, 3.023259, 5.008839
1021.519109, 924.310084, 424.373391, -78.266262, 4.805601, 0.000000, 183.731101, 142.385560, 179.406066, 0.106568, 0.088850, 0.073060, 9.965835, 4.219685, 1.761599, 3.013399, 5.004187
1055.331282, 1000.250172, 456.194512, -76.218618, 5.112599, 0.000000, 193.641568, 163.463720, 196.218827, 0.112947, 0.108404, 0.101514, 20.077922, 6.151517, 1.765118, 3.033119, 5.013491
16.906087, 37.970044, 15.910561, 1.023822, 0.153499, 0.000000, 4.955234, 10.539080, 8.406380, 0.003189, 0.009777, 0.014227, 5.056044, 0.965916, 0.001760, 0.009860, 0.004652
1.628051, 3.945841, 3.613704, 1.325466, 3.095302, 0.000000, 2.626175, 6.891682, 4.475944, 2.905849, 9.912866, 16.299060, 33.657865, 18.626888, 0.099792, 0.326141, 0.092874
