t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, A3, b1, b2, b3, C, D, x1, x2, x3
368.141417, 351.652689, 168.714921, -165.220763, 10.534495, 8.515550, 225.303986, 201.118305, 221.498207, 0.130714, 0.127664, 0.118510, 15.255624, 4.565987, 1.762324, 2.992733, 4.955709
356.312093, 341.787071, 162.050456, -169.159208, 10.097780, 0.000000, 219.928454, 190.553744, 211.265093, 0.127401, 0.120101, 0.112466, 10.230573, 3.646162, 1.760558, 2.984710, 4.948695
379.970742, 361.518307, 175.379386, -161.282319, 10.971210, 0.000000, 230.679519, 211.682866, 231.731321, 0.134026, 0.135227, 0.124554, 20.280675, 5.485813, 1.764091, 3.000756, 4.962724
11.829325, 9.865618, 6.664465, 3.938445, 0.436715, 0.000000, 5.375533, 10.564561, 10.233114, 0.003313, 0.007563, 0.006044, 5.025051, 0.919826, 0.001766, 0.008023, 0.007014
3.213256, 2.805501, 3.950134, 2.383747, 4.145567, 0.000000, 2.385902, 5.252909, 4.619953, 2.534274, 5.923983, 5.099866, 32.939008, 20.145169, 0.100216, 0.268081, 0.141541
