t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, b1, b2, C, D, x1, x2
458.102688, 453.564874, 213.816635, -156.666943, 5.542132, 17.588933, 357.315852, 376.098006, 0.079966, 0.076107, 0.000001, 5.956961, 2.317434, 4.487794
452.204608, 448.989031, 212.076332, -157.260653, 5.484822, 0.000000, 351.595205, 358.894601, 0.078386, 0.071752, -7.434011, 4.411194, 2.316509, 4.480909
464.000768, 458.140716, 215.556938, -156.073233, 5.599442, 0.000000, 363.036498, 393.301412, 0.081546, 0.080462, 7.434013, 7.502729, 2.318359, 4.494678
5.898080, 4.575843, 1.740303, 0.593710, 0.057310, 0.000000, 5.720647, 17.203406, 0.001580, 0.004355, 7.434012, 1.545767, 0.000925, 0.006884
1.287502, 1.008862, 0.813923, 0.378963, 1.034080, 0.000000, 1.601006, 4.574182, 1.975343, 5.722121, 604171640.651062, 25.948921, 0.039904, 0.153404
