t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, A3, b1, b2, b3, C, D, x1, x2, x3
392.867301, 380.243672, 180.742535, -153.816576, 8.973548, 21.198994, 374.757022, 379.095611, 405.529807, 0.110913, 0.117893, 0.108783, 9.671726, 10.965649, 1.853129, 3.048614, 5.009205
385.367861, 375.570306, 178.146976, -156.782888, 8.644820, 0.000000, 363.863026, 353.640955, 381.201039, 0.107297, 0.109211, 0.094876, -2.323373, 8.334538, 1.851223, 3.038047, 5.001857
400.366742, 384.917037, 183.338094, -150.850265, 9.302276, 0.000000, 385.651018, 404.550268, 429.858575, 0.114529, 0.126576, 0.122689, 21.666826, 13.596759, 1.855035, 3.059180, 5.016554
7.499440, 4.673365, 2.595559, 2.966312, 0.328728, 0.000000, 10.893996, 25.454656, 24.328768, 0.003616, 0.008682, 0.013906, 11.995099, 2.631110, 0.001906, 0.010566, 0.007349
1.908899, 1.229045, 1.436053, 1.928473, 3.663302, 0.000000, 2.906949, 6.714574, 5.999255, 3.260298, 7.364336, 12.783430, 124.022323, 23.994116, 0.102862, 0.346600, 0.146701
