t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, A3, b1, b2, b3, C, D, x1, x2, x3
1055.291767, 1021.887323, 449.788648, -79.053471, 4.393601, 24.966360, 281.809383, 256.386088, 304.475616, 0.087281, 0.084103, 0.090328, 8.409288, 12.007166, 1.850042, 3.063792, 5.039447
1032.390147, 1007.523569, 444.884609, -80.315804, 4.219424, 0.000000, 273.019310, 232.555630, 285.845444, 0.084063, 0.070956, 0.065675, -2.712247, 9.393056, 1.848238, 3.048996, 5.034573
1078.193387, 1036.251076, 454.692688, -77.791138, 4.567778, 0.000000, 290.599456, 280.216546, 323.105788, 0.090499, 0.097251, 0.114981, 19.530824, 14.621277, 1.851846, 3.078589, 5.044322
22.901620, 14.363754, 4.904039, 1.262333, 0.174177, 0.000000, 8.790073, 23.830458, 18.630172, 0.003218, 0.013147, 0.024653, 11.121536, 2.614111, 0.001804, 0.014797, 0.004875
2.170169, 1.405610, 1.090299, 1.596809, 3.964339, 0.000000, 3.119156, 9.294755, 6.118773, 3.687341, 15.632418, 27.292761, 132.252993, 21.771256, 0.097512, 0.482955, 0.096728
