t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, A3, b1, b2, b3, C, D, x1, x2, x3
209.729585, 201.865709, 99.644061, -157.782882, 18.047079, 21.538206, 297.544930, 297.061860, 321.215113, 0.143100, 0.145442, 0.144678, 9.610862, 7.238486, 1.859596, 3.039224, 4.984346
201.335005, 196.453328, 95.930419, -163.359158, 17.057652, 0.000000, 284.541655, 271.737910, 295.144881, 0.136578, 0.131548, 0.129978, -2.786305, 4.703151, 1.856300, 3.025197, 4.971996
218.124165, 207.278090, 103.357703, -152.206607, 19.036507, 0.000000, 310.548204, 322.385811, 347.285345, 0.149621, 0.159336, 0.159379, 22.008029, 9.773821, 1.862891, 3.053251, 4.996695
8.394580, 5.412381, 3.713642, 5.576276, 0.989428, 0.000000, 13.003274, 25.323950, 26.070232, 0.006522, 0.013894, 0.014701, 12.397167, 2.535335, 0.003295, 0.014027, 0.012350
4.002573, 2.681179, 3.726907, 3.534145, 5.482480, 0.000000, 4.370188, 8.524807, 8.116129, 4.557417, 9.553213, 10.160921, 128.991204, 35.025766, 0.177211, 0.461532, 0.247773
