t_hyp, T1, T2, E_max, P1/2, baseline, A1, b1, C, D, x1
445.649533, 425.544034, 198.760329, -186.687669, 1.058134, 20.797715, 731.985018, 0.054386, -70.404482, 11.507563, 3.709227
434.346911, 422.536335, 197.189125, -189.041022, 0.986146, 0.000000, 714.130538, 0.052628, -104.387400, 4.460456, 3.708130
456.952155, 428.551732, 200.331533, -184.334316, 1.130121, 0.000000, 749.839498, 0.056145, -36.421564, 18.554670, 3.710325
11.302622, 3.007698, 1.571204, 2.353353, 0.071988, 0.000000, 17.854480, 0.001759, 33.982918, 7.047107, 0.001098
2.536213, 0.706789, 0.790502, 1.260583, 6.803291, 0.000000, 2.439187, 3.233906, 48.268117, 61.238919, 0.029592
