t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, A3, b1, b2, b3, C, D, x1, x2, x3
618.115941, 595.001378, 282.123609, -90.573258, 4.249600, 11.642336, 184.569423, 160.671543, 182.495337, 0.094452, 0.079272, 0.084152, 6.680871, 5.713532, 1.875647, 3.074478, 4.919983
609.329726, 578.668538, 276.631602, -97.502558, 3.276434, 0.000000, 180.813129, 154.370189, 173.968398, 0.092201, 0.062677, 0.076269, 2.214040, 4.859337, 1.874417, 3.071464, 4.913089
626.902156, 611.334218, 287.615617, -83.643959, 5.222766, 0.000000, 188.325716, 166.972897, 191.022275, 0.096703, 0.095868, 0.092035, 11.147702, 6.567728, 1.876877, 3.077492, 4.926877
8.786215, 16.332840, 5.492007, 6.929300, 0.973166, 0.000000, 3.756294, 6.301354, 8.526938, 0.002251, 0.016595, 0.007883, 4.466831, 0.854196, 0.001230, 0.003014, 0.006894
1.421451, 2.745009, 1.946667, 7.650492, 22.900187, 0.000000, 2.035166, 3.921886, 4.672414, 2.383328, 20.934489, 9.367025, 66.860005, 14.950395, 0.065599, 0.098028, 0.140127
