t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, A3, b1, b2, b3, C, D, x1, x2, x3
1037.628447, 992.309914, 443.092566, -70.136996, 5.032054, 14.646266, 186.644180, 156.258060, 181.111130, 0.113214, 0.105952, 0.094148, 20.542580, 4.683174, 1.780198, 3.033263, 5.001916
1020.457180, 964.708934, 431.962346, -70.671901, 4.923780, 0.000000, 181.627198, 145.823814, 171.974306, 0.109965, 0.094305, 0.081122, 15.349893, 3.716219, 1.778358, 3.024395, 4.996240
1054.799715, 1019.910894, 454.222787, -69.602091, 5.140328, 0.000000, 191.661161, 166.692306, 190.247954, 0.116464, 0.117599, 0.107173, 25.735268, 5.650130, 1.782038, 3.042132, 5.007591
17.171268, 27.600980, 11.130220, 0.534905, 0.108274, 0.000000, 5.016981, 10.434246, 9.136824, 0.003249, 0.011647, 0.013025, 5.192688, 0.966955, 0.001840, 0.008868, 0.005675
1.654857, 2.781488, 2.511940, 0.762657, 2.151681, 0.000000, 2.687992, 6.677573, 5.044872, 2.870096, 10.992848, 13.834971, 25.277679, 20.647431, 0.103367, 0.292370, 0.113465
