t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, A3, b1, b2, b3, C, D, x1, x2, x3
210.115478, 196.252813, 93.585114, -134.115509, 14.892922, 9.150171, 197.748007, 184.993743, 195.637743, 0.148128, 0.146112, 0.136385, 20.410662, 3.038035, 1.780674, 3.000070, 4.920361
203.388992, 187.998839, 90.951996, -136.531692, 14.402359, 0.000000, 191.941854, 174.344228, 185.282171, 0.143754, 0.136472, 0.126601, 15.156726, 2.121531, 1.778363, 2.991008, 4.912839
216.841963, 204.506787, 96.218232, -131.699325, 15.383485, 0.000000, 203.554159, 195.643258, 205.993315, 0.152503, 0.155751, 0.146168, 25.664598, 3.954539, 1.782985, 3.009132, 4.927883
6.726485, 8.253974, 2.633118, 2.416184, 0.490563, 0.000000, 5.806153, 10.649515, 10.355572, 0.004374, 0.009639, 0.009784, 5.253936, 0.916504, 0.002311, 0.009062, 0.007522
3.201328, 4.205786, 2.813608, 1.801569, 3.293932, 0.000000, 2.936137, 5.756689, 5.293238, 2.953064, 6.597238, 7.173747, 25.741137, 30.167654, 0.129804, 0.302060, 0.152873
