t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, A3, b1, b2, b3, C, D, x1, x2, x3
646.608765, 585.126097, 281.429830, -88.857625, 6.059026, 14.456110, 221.093195, 191.230086, 219.510961, 0.117555, 0.117494, 0.108610, 23.245649, 3.386085, 1.774927, 3.022116, 4.971619
618.763806, 545.346810, 265.076229, -89.589998, 5.928456, 0.000000, 215.643748, 179.764095, 208.472017, 0.114460, 0.108374, 0.101360, 17.753972, 2.367772, 1.773204, 3.013547, 4.964376
674.453725, 624.905385, 297.783432, -88.125251, 6.189596, 0.000000, 226.542642, 202.696077, 230.549905, 0.120649, 0.126614, 0.115861, 28.737327, 4.404399, 1.776649, 3.030685, 4.978862
27.844960, 39.779288, 16.353601, 0.732374, 0.130570, 0.000000, 5.449447, 11.465991, 11.038944, 0.003095, 0.009120, 0.007250, 5.491678, 1.018313, 0.001722, 0.008569, 0.007243
4.306307, 6.798413, 5.810898, 0.824210, 2.154962, 0.000000, 2.464774, 5.995914, 5.028881, 2.632598, 7.761906, 6.675440, 23.624540, 30.073475, 0.097038, 0.283547, 0.145683
