t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, A3, b1, b2, b3, C, D, x1, x2, x3
1536.582867, 1490.145570, 619.792302, -65.267516, 2.501026, 21.415621, 156.791560, 136.148356, 181.213295, 0.053437, 0.059627, 0.066045, -14.896344, 14.474054, 2.017617, 3.182007, 4.976917
1502.832260, 1472.071883, 608.250839, -66.137779, 2.392801, 0.000000, 152.048739, 114.102685, 160.001782, 0.051390, 0.041985, 0.053613, -22.913444, 12.442502, 2.016318, 3.155678, 4.958057
1570.333474, 1508.219257, 631.333765, -64.397254, 2.609250, 0.000000, 161.534381, 158.194027, 202.424807, 0.055484, 0.077269, 0.078476, -6.879244, 16.505606, 2.018916, 3.208336, 4.995776
33.750607, 18.073687, 11.541463, 0.870263, 0.108224, 0.000000, 4.742821, 22.045671, 21.211512, 0.002047, 0.017642, 0.012431, 8.017100, 2.031552, 0.001299, 0.026329, 0.018860
2.196472, 1.212881, 1.862150, 1.333378, 4.327202, 0.000000, 3.024921, 16.192389, 11.705274, 3.830424, 29.587270, 18.822614, 53.819243, 14.035821, 0.064400, 0.827430, 0.378943
