t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, A3, b1, b2, b3, C, D, x1, x2, x3
1061.195383, 1062.286315, 463.491615, -94.976672, 2.809915, 23.149227, 233.182946, 216.536955, 265.975741, 0.057478, 0.060081, 0.063670, -11.855012, 12.378449, 2.008860, 3.169781, 4.968613
1045.894253, 1052.810291, 457.545401, -95.982491, 2.715423, 0.000000, 227.183766, 190.720260, 238.899032, 0.055626, 0.039794, 0.056037, -21.669357, 9.930024, 2.007689, 3.150999, 4.952692
1076.496514, 1071.762339, 469.437830, -93.970854, 2.904406, 0.000000, 239.182125, 242.353649, 293.052449, 0.059331, 0.080367, 0.071303, -2.040666, 14.826874, 2.010030, 3.188563, 4.984535
15.301131, 9.476024, 5.946214, 1.005818, 0.094492, 0.000000, 5.999180, 25.816694, 27.076708, 0.001853, 0.020287, 0.007633, 9.814345, 2.448425, 0.001170, 0.018782, 0.015921
1.441877, 0.892040, 1.282917, 1.059016, 3.362797, 0.000000, 2.572735, 11.922535, 10.180142, 3.223361, 33.765655, 11.988781, 82.786467, 19.779742, 0.058250, 0.592525, 0.320440
