t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, A3, b1, b2, b3, C, D, x1, x2, x3
418.307647, 404.753281, 190.019882, -165.319403, 8.236184, 21.198032, 341.777188, 350.148809, 375.189849, 0.091322, 0.106948, 0.092531, -1.676073, 12.379956, 2.018460, 3.163252, 4.931863
409.880521, 399.629275, 186.754261, -167.586965, 8.009723, 0.000000, 332.655971, 325.566858, 350.973611, 0.088448, 0.093549, 0.082239, -13.209578, 9.748786, 2.016855, 3.153245, 4.921974
426.734773, 409.877287, 193.285503, -163.051841, 8.462645, 0.000000, 350.898405, 374.730760, 399.406086, 0.094195, 0.120347, 0.102823, 9.857431, 15.011126, 2.020066, 3.173260, 4.941751
8.427126, 5.124006, 3.265621, 2.267562, 0.226461, 0.000000, 9.121217, 24.581951, 24.216237, 0.002873, 0.013399, 0.010292, 11.533505, 2.631170, 0.001606, 0.010007, 0.009888
2.014576, 1.265958, 1.718568, 1.371625, 2.749586, 0.000000, 2.668761, 7.020430, 6.454396, 3.146562, 12.528384, 11.122469, 688.126460, 21.253469, 0.079541, 0.316360, 0.200500
