t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, A3, b1, b2, b3, C, D, x1, x2, x3
1854.320588, 1849.829058, 723.420072, -37.102507, 1.885317, 22.637747, 101.003705, 100.091752, 110.218018, 0.052136, 0.059732, 0.039730, -7.752225, 12.496246, 2.019601, 3.222885, 5.015314
1769.706761, 1820.191674, 707.102612, -37.861183, 1.747823, 0.000000, 95.373955, 74.040185, -86.855581, 0.048445, 0.024988, -0.081835, -17.409324, 10.027867, 2.017255, 3.180382, 4.980434
1938.934416, 1879.466442, 739.737532, -36.343831, 2.022812, 0.000000, 106.633455, 126.143320, 307.291617, 0.055827, 0.094475, 0.161295, 1.904873, 14.964624, 2.021947, 3.265388, 5.050195
84.613828, 29.637384, 16.317460, 0.758676, 0.137495, 0.000000, 5.629750, 26.051567, 197.073599, 0.003691, 0.034743, 0.121565, 9.657099, 2.468379, 0.002346, 0.042503, 0.034880
4.563064, 1.602169, 2.255600, 2.044811, 7.292914, 0.000000, 5.573806, 26.027686, 178.803432, 7.078773, 58.165747, 305.978591, 124.571957, 19.752962, 0.116153, 1.318786, 0.695478
