,cp-14,A-14,O-14,O-15,Oxo71,H-14
1.0,-74.55133748403888,-81.52738887753459,-61.20619427423817,-138.28606260311363,,-92.36302555371674
2.0,-83.6892303373562,-101.94726994751984,-158.77052112026155,-177.41742099069523,-164.24189601292827,-134.01702644880166
4.0,-112.43864250309619,-112.7898769414104,-159.02393049403963,-218.6987590271285,-211.83034996271263,-148.13819407750384
8.0,-80.81380704434166,-97.39522548428882,126.31219787487014,-178.54863177208156,,-124.76907015183492
