t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, A3, b1, b2, b3, C, D, x1, x2, x3
699.863924, 673.956702, 312.330819, -125.940021, 5.556189, 8.864378, 214.098847, 177.874819, 200.602066, 0.119919, 0.115879, 0.106678, 27.679677, 2.433722, 1.784199, 3.023029, 4.981085
685.609062, 652.673076, 306.010211, -128.486329, 5.312029, 0.000000, 206.952197, 165.313008, 189.033768, 0.115896, 0.105252, 0.098788, 19.946715, 1.109586, 1.782115, 3.014349, 4.973618
714.118785, 695.240327, 318.651426, -123.393712, 5.800349, 0.000000, 221.245497, 190.436630, 212.170365, 0.123942, 0.126505, 0.114568, 35.412639, 3.757858, 1.786282, 3.031710, 4.988552
14.254861, 21.283626, 6.320607, 2.546309, 0.244160, 0.000000, 7.146650, 12.561811, 11.568299, 0.004023, 0.010627, 0.007890, 7.732962, 1.324136, 0.002084, 0.008681, 0.007467
2.036805, 3.158011, 2.023690, 2.021842, 4.394375, 0.000000, 3.338014, 7.062164, 5.766789, 3.354753, 9.170685, 7.396156, 27.937327, 54.407847, 0.116785, 0.287148, 0.149915
