t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, b1, b2, C, D, x1, x2, baselineBp
733.215800, 712.851361, 322.878983, -154.166257, 4.346194, 26.031343, 402.916042, 409.889445, 0.063380, 0.094248, 0.000000, 9.611541, 2.413791, 4.541144, 28.213643
729.550845, 709.383019, 320.032421, -155.399450, 4.230171, 0.000000, 394.092359, 383.690178, 0.061726, 0.073436, -13.578903, 6.265343, 2.412734, 4.533913, 0.000000
736.880755, 716.319703, 325.725546, -152.933063, 4.462217, 0.000000, 411.739725, 436.088712, 0.065033, 0.115060, 13.578904, 12.957739, 2.414848, 4.548376, 0.000000
3.664955, 3.468342, 2.846563, 1.233194, 0.116023, 0.000000, 8.823683, 26.199267, 0.001653, 0.020812, 13.578904, 3.346198, 0.001057, 0.007232, 0.000000
0.499847, 0.486545, 0.881619, 0.799911, 2.669534, 0.000000, 2.189956, 6.391789, 2.608647, 22.082428, 4899243148.702559, 34.814378, 0.043788, 0.159248, 0.000000
