t_hyp, T1, T2, E_max, P1/2, baseline, A1, b1, C, D, x1
1529.067203, 1611.671161, 621.392502, -71.411504, 3.818505, 31.552727, 323.308804, 0.044733, -35.410692, 9.303564, 3.736330
1476.080726, 1586.111406, 610.738325, -73.692109, 3.443771, 0.000000, 311.688899, 0.042679, -59.141152, 4.323534, 3.734988
1582.053681, 1637.230916, 632.046679, -69.130899, 4.193239, 0.000000, 334.928708, 0.046786, -11.680231, 14.283594, 3.737672
52.986477, 25.559755, 10.654177, 2.280605, 0.374734, 0.000000, 11.619905, 0.002054, 23.730460, 4.980030, 0.001342
3.465281, 1.585916, 1.714565, 3.193610, 9.813638, 0.000000, 3.594058, 4.591207, 67.014959, 53.528196, 0.035916
