t_hyp, T1, T2, E_max, P1/2, baseline, A1, b1, C, D, x1
1129.486741, 1178.987511, 491.517430, -114.449371, 2.417559, 18.081776, 310.670685, 0.048214, -30.883714, 7.105551, 3.728116
1113.131916, 1168.110534, 487.275712, -116.323410, 2.264400, 0.000000, 300.632614, 0.046168, -50.751101, 2.955650, 3.726845
1145.841566, 1189.864488, 495.759149, -112.575332, 2.570718, 0.000000, 320.708756, 0.050261, -11.016327, 11.255452, 3.729387
16.354825, 10.876977, 4.241718, 1.874039, 0.153159, 0.000000, 10.038071, 0.002047, 19.867387, 4.149901, 0.001271
1.447987, 0.922569, 0.862984, 1.637439, 6.335285, 0.000000, 3.231097, 4.245103, 64.329656, 58.403648, 0.034100
