t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, A3, b1, b2, b3, C, D, x1, x2, x3
292.701552, 280.739831, 134.271855, -165.384603, 12.924080, 21.194073, 313.659632, 334.392148, 338.110004, 0.111810, 0.133608, 0.106521, -4.578253, 10.535477, 2.020590, 3.152826, 4.925324
281.908682, 274.387521, 130.854446, -169.611978, 12.387915, 0.000000, 302.464022, 306.356971, 312.588094, 0.107315, 0.115338, 0.092734, -17.260163, 7.796545, 2.018177, 3.142029, 4.914576
303.494423, 287.092141, 137.689263, -161.157228, 13.460244, 0.000000, 324.855242, 362.427325, 363.631913, 0.116304, 0.151877, 0.120307, 8.103657, 13.274410, 2.023003, 3.163623, 4.936072
10.792871, 6.352310, 3.417408, 4.227375, 0.536165, 0.000000, 11.195610, 28.035177, 25.521910, 0.004494, 0.018269, 0.013787, 12.681910, 2.738932, 0.002413, 0.010797, 0.010748
3.687329, 2.262703, 2.545141, 2.556087, 4.148570, 0.000000, 3.569350, 8.383922, 7.548404, 4.019573, 13.673948, 12.942829, 277.003261, 25.997232, 0.119432, 0.342451, 0.218222
