t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, A3, b1, b2, b3, C, D, x1, x2, x3
1834.847526, 1850.886746, 704.813694, -20.478544, 4.430237, 19.093717, 86.965767, 90.911156, 110.418439, 0.107368, 0.070776, 0.114578, 14.294830, 12.754626, 1.894719, 3.080288, 5.018423
1754.275107, 1796.838172, 675.988896, -21.492783, 3.733127, 0.000000, 75.041829, 62.426964, 78.230179, 0.091666, -0.036660, 0.077793, -3.512833, 7.103724, 1.886973, 3.066628, 4.981269
1915.419945, 1904.935320, 733.638492, -19.464305, 5.127348, 0.000000, 98.889704, 119.395347, 142.606700, 0.123070, 0.178212, 0.151363, 32.102494, 18.405528, 1.902464, 3.093948, 5.055577
80.572419, 54.048574, 28.824798, 1.014239, 0.697111, 0.000000, 11.923938, 28.484192, 32.188261, 0.015702, 0.107436, 0.036785, 17.807663, 5.650902, 0.007745, 0.013660, 0.037154
4.391232, 2.920145, 4.089705, 4.952690, 15.735289, 0.000000, 13.711071, 31.331899, 29.151164, 14.624661, 151.797750, 32.104804, 124.574148, 44.304724, 0.408784, 0.443464, 0.740352
