t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, A3, b1, b2, b3, C, D, x1, x2, x3
705.563791, 694.760703, 311.134378, -67.978918, 6.482536, 23.633302, 236.217007, 199.498827, 247.467835, 0.108365, 0.082154, 0.100363, 38.799170, 6.548925, 1.894844, 3.075304, 4.974495
688.599828, 684.499670, 303.964252, -68.943265, 6.225072, 0.000000, 222.291124, 179.481229, 212.217489, 0.101570, 0.032624, 0.080509, 18.103582, 0.049615, 1.891501, 3.066099, 4.955735
722.527754, 705.021735, 318.304504, -67.014572, 6.740000, 0.000000, 250.142890, 219.516426, 282.718181, 0.115160, 0.131683, 0.120216, 59.494758, 13.048235, 1.898186, 3.084508, 4.993254
16.963963, 10.261033, 7.170126, 0.964347, 0.257464, 0.000000, 13.925883, 20.017598, 35.250346, 0.006795, 0.049529, 0.019854, 20.695588, 6.499310, 0.003342, 0.009204, 0.018759
2.404313, 1.476916, 2.304511, 1.418596, 3.971655, 0.000000, 5.895377, 10.033943, 14.244415, 6.270450, 60.288407, 19.781976, 53.340286, 99.242394, 0.176391, 0.299301, 0.377107
