t_hyp, T1, T2, E_max, P1/2, baseline, A1, A2, b1, b2, C, D, x1, x2, baselineBp
1104.323378, 1101.723300, 478.394089, -141.530196, 2.702766, 19.276069, 288.154341, 285.125358, 0.057627, 0.093756, 0.000000, 8.464536, 2.408617, 4.567118, 23.839593
1084.308359, 1091.252420, 471.129658, -142.518283, 2.626333, 0.000000, 280.048058, 260.481371, 0.055706, 0.061720, -13.111253, 5.179189, 2.407345, 4.559563, 0.000000
1124.338397, 1112.194179, 485.658520, -140.542108, 2.779199, 0.000000, 296.260624, 309.769345, 0.059548, 0.125793, 13.111254, 11.749884, 2.409888, 4.574673, 0.000000
20.015019, 10.470879, 7.264431, 0.988088, 0.076433, 0.000000, 8.106283, 24.643987, 0.001921, 0.032037, 13.111254, 3.285347, 0.001271, 0.007555, 0.000000
1.812424, 0.950409, 1.518504, 0.698146, 2.827954, 0.000000, 2.813174, 8.643211, 3.332971, 34.170231, 4364618203.017608, 38.813079, 0.052783, 0.165417, 0.000000
